,Company_Name,Rating,No_Of_Reviews,Company_Type,Location
0,TCS,3.3,(1.1L),IT Services & Consulting,Bangalore / Bengaluru +439 other locations
1,Accenture,3.7,(71.1k),IT Services & Consulting,Bangalore / Bengaluru +255 other locations
2,Wipro,3.6,(63.4k),IT Services & Consulting,Hyderabad / Secunderabad +370 other locations
3,Cognizant,3.6,(59.7k),IT Services & Consulting,Hyderabad / Secunderabad +229 other locations
4,Capgemini,3.7,(51.6k),IT Services & Consulting,Bangalore / Bengaluru +184 other locations
5,HDFC Bank,3.8,(50.6k),Banking,Mumbai +1821 other locations
6,Infosys,3.5,(47.2k),IT Services & Consulting,Bangalore / Bengaluru +246 other locations
7,ICICI Bank,4.0,(45.2k),Banking,Mumbai +1438 other locations
8,HCLTech,3.4,(44.5k),IT Services & Consulting,Chennai +226 other locations
9,Tech Mahindra,3.4,(42.3k),IT Services & Consulting,Hyderabad / Secunderabad +331 other locations
10,Genpact,3.6,(40.8k),IT Services & Consulting,Hyderabad / Secunderabad +182 other locations
11,Teleperformance,3.8,(36.5k),BPO,Mumbai +254 other locations
12,Axis Bank,3.6,(32.3k),Banking,Mumbai +1499 other locations
13,Jio,4.4,(32.2k),Telecom,Mumbai +1895 other locations
14,Concentrix Corporation,3.6,(31.5k),BPO,Bangalore / Bengaluru +177 other locations
15,Amazon,3.9,(30.7k),Internet,Bangalore / Bengaluru +518 other locations
16,iEnergizer,4.6,(27.1k),BPO,Noida +51 other locations
17,Reliance Retail,3.9,(26.9k),Retail,Mumbai +1152 other locations
18,LTIMindtree,3.6,(25.8k),IT Services & Consulting,Bangalore / Bengaluru +146 other locations
19,IBM,3.9,(25.3k),IT Services & Consulting,Bangalore / Bengaluru +160 other locations
20,HDB Financial Services,3.9,(25.1k),NBFC,Mumbai +1090 other locations
21,Larsen & Toubro Limited,3.9,(23.2k),Engineering & Construction,Chennai +753 other locations
22,Deloitte,3.7,(22.3k),Management Consulting,Hyderabad / Secunderabad +187 other locations
23,Kotak Mahindra Bank,3.6,(21.9k),Banking,Mumbai +681 other locations
24,Reliance Industries,4.0,(19.8k),Oil & Gas,Jamnagar +814 other locations
25,Vodafone Idea,3.9,(17.5k),Telecom,Pune +704 other locations
26,Bharti Airtel,3.8,(16.8k),Telecom,Gurgaon / Gurugram +790 other locations
27,BYJU'S,3.2,(16.5k),EdTech,Bangalore / Bengaluru +321 other locations
28,WNS,3.3,(14.8k),IT Services & Consulting,Pune +65 other locations
29,Tata Motors,4.1,(14k),Automobile,Pune +506 other locations
30,IDFC FIRST Bank,3.9,(14k),Banking,Mumbai +712 other locations
31,Ernst & Young,3.4,(13.9k),Management Consulting,Bangalore / Bengaluru +132 other locations
32,IndusInd Bank,3.4,(13.8k),Banking,Mumbai +788 other locations
33,AU Small Finance Bank,3.9,(13.8k),Banking,Jaipur +783 other locations
34,Bajaj Finserv,3.9,(12.6k),NBFC,Pune +1163 other locations
35,Flipkart,3.9,(12.6k),Internet,Bangalore / Bengaluru +558 other locations
36,Muthoot FinCorp,4.5,(12k),NBFC,Bangalore / Bengaluru +1090 other locations
37,PwC,3.3,(12k),Management Consulting,Bangalore / Bengaluru +132 other locations
38,Mahindra & Mahindra,4.0,(11.8k),Automobile,Pune +562 other locations
39,DXC Technology,3.6,(11.8k),IT Services & Consulting,Bangalore / Bengaluru +133 other locations
40,Infosys BPM,3.5,(11.7k),BPO,Bangalore / Bengaluru +95 other locations
41,HDFC Life,3.9,(11.7k),Insurance,Mumbai +698 other locations
42,Bandhan Bank,3.7,(10.6k),Banking,Kolkata +994 other locations
43,Conneqt Business Solutions,3.6,(10.1k),BPO,Hyderabad / Secunderabad +266 other locations
44,Mphasis,3.3,(10k),IT Services & Consulting,Bangalore / Bengaluru +63 other locations
45,Yes Bank,3.7,(9.9k),Banking,Mumbai +540 other locations
46,Tata Steel,4.0,(9.7k),Iron & Steel,Jamshedpur +229 other locations
47,Quess,3.8,(9.5k),Recruitment,Bangalore / Bengaluru +741 other locations
48,Startek,3.1,(9.3k),BPO,Bangalore / Bengaluru +105 other locations
49,Maruti Suzuki,4.2,(9.3k),Automobile,Gurgaon / Gurugram +449 other locations
50,Asian Paints,4.0,(9.3k),Chemicals,Mumbai +548 other locations
51,UltraTech Cement,4.1,(9.2k),Building Material,Mumbai +534 other locations
52,Paytm,3.2,(9.1k),FinTech,Noida +418 other locations
53,Shriram Finance,4.0,(9k),NBFC,Chennai +1111 other locations
54,Bajaj Finance,3.9,(8.9k),NBFC,Pune +969 other locations
55,Equitas Small Finance Bank,4.4,(8.7k),Banking,Chennai +479 other locations
56,Sutherland Global Services,3.4,(8.7k),BPO,Chennai +82 other locations
57,EXL Service,3.6,(8.5k),Analytics & KPO,Noida +63 other locations
58,Cipla,4.1,(8.4k),Pharma,Mumbai +291 other locations
59,Samsung,3.9,(8.3k),Consumer Electronics & Appliances,Noida +579 other locations
60,Ericsson,4.0,(8.3k),Telecom,Noida +162 other locations
61,Wells Fargo,3.7,(8.2k),Financial Services,Bangalore / Bengaluru +28 other locations
62,Dr. Reddy's,4.0,(8.1k),Pharma,Hyderabad / Secunderabad +214 other locations
63,Optum Global Solutions,4.0,(7.7k),IT Services & Consulting,Hyderabad / Secunderabad +68 other locations
64,Delhivery,3.8,(7.6k),Logistics,Gurgaon / Gurugram +753 other locations
